Year,Partecipant_ID,TotalCustodies
2013,13,1
2013,12,2
2013,2,2
2013,38,2
2013,24,2
2013,26,3
2013,25,3
2013,7,3
2013,28,4
2013,4,4
2013,31,5
2013,30,7
2013,27,7
2013,6,11
2013,29,12
2013,3,13
2013,23,32
2013,22,64
2013,0,75
2013,20,90
2013,21,128
2014,19,1
2014,40,1
2014,41,2
2014,39,3
2014,16,4
2014,8,6
2014,13,7
2014,17,8
2014,36,10
2014,9,10
2014,14,11
2014,26,15
2014,35,19
2014,12,20
2014,38,21
2014,37,22
2014,33,28
2014,15,28
2014,28,31
2014,32,42
2014,30,49
2014,27,51
2014,25,54
2014,7,132
2014,5,134
2014,2,163
2014,29,167
2014,31,171
2014,34,199
2014,1,202
2014,22,232
2014,6,250
2014,4,257
2014,23,288
2014,24,391
2014,20,993
2014,21,1051
2014,0,1884
2014,3,1907
2015,42,1
2015,41,1
2015,44,1
2015,43,1
2015,19,1
2015,47,1
2015,18,2
2015,11,2
2015,16,10
2015,17,14
2015,40,15
2015,10,18
2015,14,21
2015,13,23
2015,39,24
2015,8,24
2015,36,26
2015,35,35
2015,12,35
2015,38,41
2015,9,45
2015,28,46
2015,37,48
2015,26,58
2015,33,62
2015,15,65
2015,30,74
2015,27,81
2015,25,119
2015,5,167
2015,1,187
2015,31,187
2015,32,221
2015,7,223
2015,29,410
2015,23,603
2015,34,678
2015,6,760
2015,22,766
2015,2,1038
2015,4,1106
2015,24,1197
2015,20,2141
2015,3,2760
2015,21,3502
2015,0,10675
2016,43,1
2016,18,1
2016,11,2
2016,45,2
2016,16,3
2016,10,9
2016,17,11
2016,36,17
2016,40,22
2016,37,22
2016,39,23
2016,8,25
2016,14,34
2016,13,38
2016,35,38
2016,33,46
2016,15,55
2016,38,57
2016,12,61
2016,28,71
2016,9,76
2016,26,90
2016,30,102
2016,25,146
2016,27,175
2016,5,192
2016,1,200
2016,32,295
2016,31,300
2016,7,429
2016,34,821
2016,29,864
2016,23,1043
2016,6,1337
2016,4,1395
2016,24,1442
2016,2,1444
2016,22,1585
2016,3,4366
2016,20,4572
2016,21,8578
2016,0,15266
2017,36,1
2017,11,1
2017,46,1
2017,44,1
2017,43,2
2017,18,4
2017,19,6
2017,17,7
2017,35,7
2017,37,9
2017,16,9
2017,40,16
2017,10,18
2017,33,24
2017,39,29
2017,8,53
2017,14,55
2017,15,62
2017,13,75
2017,38,79
2017,12,106
2017,28,110
2017,9,115
2017,30,147
2017,26,148
2017,32,238
2017,25,268
2017,1,287
2017,5,293
2017,34,307
2017,27,332
2017,31,613
2017,7,982
2017,24,1060
2017,29,1688
2017,23,1907
2017,6,2117
2017,2,2221
2017,4,2266
2017,22,3115
2017,3,6367
2017,20,9364
2017,21,16632
2017,0,22878
2018,37,1
2018,36,1
2018,35,2
2018,11,2
2018,10,3
2018,40,5
2018,39,5
2018,17,6
2018,33,7
2018,13,8
2018,8,12
2018,14,12
2018,38,15
2018,15,21
2018,12,25
2018,30,26
2018,28,36
2018,26,37
2018,32,42
2018,9,45
2018,25,46
2018,5,56
2018,34,59
2018,27,63
2018,1,66
2018,31,127
2018,24,210
2018,7,219
2018,29,313
2018,23,464
2018,2,490
2018,4,530
2018,6,533
2018,22,577
2018,3,1305
2018,20,1824
2018,21,2810
2018,0,4800
